host_since,neighbourhood,city,accommodates,price
03/12/2011,Buttes-Montmartre,Paris,2,53
29/11/2013,Buttes-Montmartre,Paris,2,120
31/07/2014,Elysee,Paris,2,89
17/12/2013,Vaugirard,Paris,2,58
14/12/2014,Passy,Paris,2,60
13/04/2011,Temple,Paris,2,95
09/08/2013,Popincourt,Paris,2,80
14/04/2013,Popincourt,Paris,2,59
14/06/2015,Buttes-Chaumont,Paris,2,80
02/09/2014,Opera,Paris,2,90
04/06/2015,Gobelins,Paris,2,60
13/08/2014,Hotel-de-Ville,Paris,2,80
17/07/2014,Pantheon,Paris,2,61
19/11/2013,Enclos-St-Laurent,Paris,2,145
30/12/2015,Elysee,Paris,2,35
31/05/2015,Popincourt,Paris,2,39
28/02/2015,Batignolles-Monceau,Paris,2,55
21/03/2016,Popincourt,Paris,2,55
23/04/2013,Enclos-St-Laurent,Paris,2,57
31/10/2014,Gobelins,Paris,2,55
30/05/2014,Batignolles-Monceau,Paris,2,51
18/11/2012,Opera,Paris,2,80
19/08/2014,Opera,Paris,2,70
12/01/2013,Luxembourg,Paris,2,90
06/01/2014,Temple,Paris,2,89
18/11/2013,Reuilly,Paris,2,42
22/10/2013,Batignolles-Monceau,Paris,2,35
11/06/2013,Enclos-St-Laurent,Paris,2,60
01/02/2013,Buttes-Montmartre,Paris,2,50
03/07/2014,Buttes-Montmartre,Paris,2,70
15/07/2015,Vaugirard,Paris,2,50
29/07/2016,Luxembourg,Paris,2,100
16/03/2015,Temple,Paris,2,109
19/03/2015,Gobelins,Paris,2,68
25/02/2015,Pantheon,Paris,2,75
18/10/2016,Vaugirard,Paris,2,65
05/01/2014,Opera,Paris,2,100
02/11/2016,Pantheon,Paris,2,40
11/01/2013,Passy,Paris,2,80
19/05/2014,Popincourt,Paris,2,109
15/02/2015,Popincourt,Paris,2,91
24/04/2015,Menilmontant,Paris,2,40
22/05/2012,Enclos-St-Laurent,Paris,2,60
23/03/2015,Buttes-Montmartre,Paris,2,60
06/08/2013,Popincourt,Paris,2,119
25/05/2014,Batignolles-Monceau,Paris,2,52
25/02/2013,Pantheon,Paris,2,70
09/06/2013,Popincourt,Paris,2,70
29/07/2015,Vaugirard,Paris,2,30
02/03/2014,Menilmontant,Paris,2,55
23/12/2014,Buttes-Montmartre,Paris,2,51
14/06/2017,Buttes-Montmartre,Paris,2,200
21/07/2016,Observatoire,Paris,2,50
